UPC,Price,Variation,Source Link
882256632781,49.50,Allure Teal Chain,https://us.kipling.com/products/kelsey-fc-kpkia2q04ia
882256632569,69.50,Charcoal Chain,https://us.kipling.com/products/neary-fc-kpkib5q90pr
882256534023,29.99,Black Tonal,https://us.kipling.com/products/isidora-kpki17560dh
882256632583,69.50,Allure Teal Chain,https://us.kipling.com/products/neary-fc-kpkib5q94ia
882256632767,49.50,Charcoal Chain,https://us.kipling.com/products/kelsey-fc-kpkia2q00pr
882256630053,29.99,Purple Passion,https://us.kipling.com/products/isidora-kpki1756be7
882256630060,29.99,Cloudy Grey,https://us.kipling.com/products/isidora-kpki17560mo
882256632569,69.50,Charcoal Chain,https://us.kipling.com/products/neary-fc-kpkib5q90pr
882256632781,49.50,Allure Teal Chain,https://us.kipling.com/products/kelsey-fc-kpkia2q04ia
882256632583,69.50,Allure Teal Chain,https://us.kipling.com/products/neary-fc-kpkib5q94ia
882256632910,69.50,Charcoal Chain,https://us.kipling.com/products/jodes-fc-kpkib6n40pr
882256632767,49.50,Charcoal Chain,https://us.kipling.com/products/kelsey-fc-kpkia2q00pr
882256632934,69.50,Allure Teal Chain,https://us.kipling.com/products/jodes-fc-kpkib6n44ia
882256618839,104.25,Black Rose City,https://us.kipling.com/products/bexie-wk-spc-kpkia6z5me1
882256604900,62.00,Pink Sands,https://us.kipling.com/products/pahneiro-u-kpki9393b0r
882256604757,29.99,Light Aloe Tonal,https://us.kipling.com/products/callie-kphb64900fe
882256580242,62.00,Ink Blue Tonal,https://us.kipling.com/products/pahneiro-u-kpki93934ea
882256580235,62.00,Black Tonal,https://us.kipling.com/products/pahneiro-u-kpki93930dh
882256607024,29.99,Light Aloe Tonal,https://us.kipling.com/products/lovebug-u-kpki94970fe
882256641424,62.00,Springtime Sage,https://us.kipling.com/products/pahneiro-u-kpki9393cx1
882256607147,29.99,Soft Blush,https://us.kipling.com/products/callie-kphb64900bh
882256607130,39.60,Soft Blush,https://us.kipling.com/products/lovebug-u-kpki94970bh
882256641431,62.00,Dove Grey,https://us.kipling.com/products/pahneiro-u-kpki93930kg
882256609691,39.60,Purple Fig,https://us.kipling.com/products/lovebug-u-kpki94970cv
882256437843,47.00,INK BLUE TONAL,https://us.kipling.com/products/callie-kphb64904ea
882256435832,199.50,Black Tonal,https://us.kipling.com/products/parker-l-kpwl48030dh
882256644272,49.50,Grape Tint,https://us.kipling.com/products/lovebug-u-kpki94972gi
882256451320,199.50,True Blue Tonal,https://us.kipling.com/products/parker-l-kpwl48034dx
882256641233,49.50,Cloudy Grey,https://us.kipling.com/products/lovebug-u-kpki94970mo
882256631913,24.99,Black Tonal,https://us.kipling.com/products/libbie-kpkia5e60dh
882256632989,77.00,Bermuda Blue Gradient,https://us.kipling.com/products/maison-spc-kpkib4r57eo
882256609349,99.00,True Blue Tonal,https://us.kipling.com/products/lovebug-u-kpki94974dx
882256402827,47.00,Black Tonal,https://us.kipling.com/products/brynne-kphb66330dh
882256630510,39.99,Electric Teal,https://us.kipling.com/products/charnell-kpki92793ju
882256631937,24.99,Light Sand,https://us.kipling.com/products/libbie-kpkia5e674o
882256592429,29.99,True Blue Tonal,https://us.kipling.com/products/brynne-kphb66334dx
882256631920,24.99,Electric Teal,https://us.kipling.com/products/libbie-kpkia5e63ju
882256616682,39.99,Cloudy Grey,https://us.kipling.com/products/charnell-kpki92790mo
882256629705,29.99,Cloudy Grey,https://us.kipling.com/products/brynne-kphb66330mo
882256631906,24.99,Vivid White,https://us.kipling.com/products/libbie-kpkia5e6j3c
882256580402,49.60,Black Tonal,https://us.kipling.com/products/charnell-kpki92790dh
882256435832,199.50,Black Tonal,https://us.kipling.com/products/parker-l-kpwl48030dh
882256451320,199.50,True Blue Tonal,https://us.kipling.com/products/parker-l-kpwl48034dx
882256629712,29.99,Electric Teal,https://us.kipling.com/products/brynne-kphb66333ju
882256605648,37.80,Moon Grey Metallic,https://us.kipling.com/products/pixi-mtllc-kpac61080hd
882256437072,32.40,Starry Gold Metallic,https://us.kipling.com/products/pixi-mtllc-kpac61083ev
882256607888,41.60,Moon Grey Met,https://us.kipling.com/products/nadale-gm-kpkib3u40hd
882256604900,62.00,Pink Sands,https://us.kipling.com/products/pahneiro-u-kpki9393b0r
882256580242,62.00,Ink Blue Tonal,https://us.kipling.com/products/pahneiro-u-kpki93934ea
882256580235,62.00,Black Tonal,https://us.kipling.com/products/pahneiro-u-kpki93930dh
882256606980,41.60,Quartz Metallic,https://us.kipling.com/products/nadale-gm-kpkib3u43it
882256641424,62.00,Springtime Sage,https://us.kipling.com/products/pahneiro-u-kpki9393cx1
882256641431,62.00,Dove Grey,https://us.kipling.com/products/pahneiro-u-kpki93930kg
882256631913,24.99,Black Tonal,https://us.kipling.com/products/libbie-kpkia5e60dh
882256631937,24.99,Light Sand,https://us.kipling.com/products/libbie-kpkia5e674o
882256580037,65.80,True Blue Tonal,https://us.kipling.com/products/syro-u-kpki93904dx
882256631920,24.99,Electric Teal,https://us.kipling.com/products/libbie-kpkia5e63ju
882256607321,37.60,Soft Blush,https://us.kipling.com/products/syro-u-kpki93900bh
882256631906,24.99,Vivid White,https://us.kipling.com/products/libbie-kpkia5e6j3c
882256630077,29.99,True Blue Tonal,https://us.kipling.com/products/isidora-kpki17564dx
882256604986,34.99,Light Aloe Tonal,https://us.kipling.com/products/syro-u-kpki93900fe
882256632910,69.50,Charcoal Chain,https://us.kipling.com/products/jodes-fc-kpkib6n40pr
882256534023,29.99,Black Tonal,https://us.kipling.com/products/isidora-kpki17560dh
882256630053,29.99,Purple Passion,https://us.kipling.com/products/isidora-kpki1756be7
882256632934,69.50,Allure Teal Chain,https://us.kipling.com/products/jodes-fc-kpkib6n44ia
882256630077,29.99,True Blue Tonal,https://us.kipling.com/products/isidora-kpki17564dx
882256534023,29.99,Black Tonal,https://us.kipling.com/products/isidora-kpki17560dh
882256630060,29.99,Cloudy Grey,https://us.kipling.com/products/isidora-kpki17560mo
882256630053,29.99,Purple Passion,https://us.kipling.com/products/isidora-kpki1756be7
882256632569,69.50,Charcoal Chain,https://us.kipling.com/products/neary-fc-kpkib5q90pr
882256630060,29.99,Cloudy Grey,https://us.kipling.com/products/isidora-kpki17560mo
882256632781,49.50,Allure Teal Chain,https://us.kipling.com/products/kelsey-fc-kpkia2q04ia
882256632583,69.50,Allure Teal Chain,https://us.kipling.com/products/neary-fc-kpkib5q94ia
882256632781,49.50,Allure Teal Chain,https://us.kipling.com/products/kelsey-fc-kpkia2q04ia
882256632590,64.50,Charcoal Chain,https://us.kipling.com/products/new-milos-y2k-prt-kpkib8z30pr
882256632767,49.50,Charcoal Chain,https://us.kipling.com/products/kelsey-fc-kpkia2q00pr
882256632767,49.50,Charcoal Chain,https://us.kipling.com/products/kelsey-fc-kpkia2q00pr
882256632910,69.50,Charcoal Chain,https://us.kipling.com/products/jodes-fc-kpkib6n40pr
882256632934,69.50,Allure Teal Chain,https://us.kipling.com/products/jodes-fc-kpkib6n44ia
882256618839,104.25,Black Rose City,https://us.kipling.com/products/bexie-wk-spc-kpkia6z5me1
882256604757,29.99,Light Aloe Tonal,https://us.kipling.com/products/callie-kphb64900fe
882256607147,29.99,Soft Blush,https://us.kipling.com/products/callie-kphb64900bh
882256437843,47.00,INK BLUE TONAL,https://us.kipling.com/products/callie-kphb64904ea
882256604900,62.00,Pink Sands,https://us.kipling.com/products/pahneiro-u-kpki9393b0r
882256580242,62.00,Ink Blue Tonal,https://us.kipling.com/products/pahneiro-u-kpki93934ea
882256632569,69.50,Charcoal Chain,https://us.kipling.com/products/neary-fc-kpkib5q90pr
882256631913,24.99,Black Tonal,https://us.kipling.com/products/libbie-kpkia5e60dh
882256632583,69.50,Allure Teal Chain,https://us.kipling.com/products/neary-fc-kpkib5q94ia
882256631937,24.99,Light Sand,https://us.kipling.com/products/libbie-kpkia5e674o
882256641424,62.00,Springtime Sage,https://us.kipling.com/products/pahneiro-u-kpki9393cx1
882256631920,24.99,Electric Teal,https://us.kipling.com/products/libbie-kpkia5e63ju
882256641431,62.00,Dove Grey,https://us.kipling.com/products/pahneiro-u-kpki93930kg
882256607024,29.99,Light Aloe Tonal,https://us.kipling.com/products/lovebug-u-kpki94970fe
882256630510,39.99,Electric Teal,https://us.kipling.com/products/charnell-kpki92793ju
882256631906,24.99,Vivid White,https://us.kipling.com/products/libbie-kpkia5e6j3c
882256607130,39.60,Soft Blush,https://us.kipling.com/products/lovebug-u-kpki94970bh
882256435832,199.50,Black Tonal,https://us.kipling.com/products/parker-l-kpwl48030dh
882256609691,39.60,Purple Fig,https://us.kipling.com/products/lovebug-u-kpki94970cv
882256616682,39.99,Cloudy Grey,https://us.kipling.com/products/charnell-kpki92790mo
882256632989,77.00,Bermuda Blue Gradient,https://us.kipling.com/products/maison-spc-kpkib4r57eo
882256451320,199.50,True Blue Tonal,https://us.kipling.com/products/parker-l-kpwl48034dx
882256644272,49.50,Grape Tint,https://us.kipling.com/products/lovebug-u-kpki94972gi
882256580402,49.60,Black Tonal,https://us.kipling.com/products/charnell-kpki92790dh
882256641233,49.50,Cloudy Grey,https://us.kipling.com/products/lovebug-u-kpki94970mo
882256609349,99.00,True Blue Tonal,https://us.kipling.com/products/lovebug-u-kpki94974dx
882256402827,47.00,Black Tonal,https://us.kipling.com/products/brynne-kphb66330dh
882256605648,37.80,Moon Grey Metallic,https://us.kipling.com/products/pixi-mtllc-kpac61080hd
882256437072,32.40,Starry Gold Metallic,https://us.kipling.com/products/pixi-mtllc-kpac61083ev
882256592429,29.99,True Blue Tonal,https://us.kipling.com/products/brynne-kphb66334dx
882256629705,29.99,Cloudy Grey,https://us.kipling.com/products/brynne-kphb66330mo
882256629712,29.99,Electric Teal,https://us.kipling.com/products/brynne-kphb66333ju
882256435832,199.50,Black Tonal,https://us.kipling.com/products/parker-l-kpwl48030dh
882256451320,199.50,True Blue Tonal,https://us.kipling.com/products/parker-l-kpwl48034dx
882256604900,62.00,Pink Sands,https://us.kipling.com/products/pahneiro-u-kpki9393b0r
882256580242,62.00,Ink Blue Tonal,https://us.kipling.com/products/pahneiro-u-kpki93934ea
882256580235,62.00,Black Tonal,https://us.kipling.com/products/pahneiro-u-kpki93930dh
882256641424,62.00,Springtime Sage,https://us.kipling.com/products/pahneiro-u-kpki9393cx1
882256641431,62.00,Dove Grey,https://us.kipling.com/products/pahneiro-u-kpki93930kg
882256630077,29.99,True Blue Tonal,https://us.kipling.com/products/isidora-kpki17564dx
882256630077,29.99,True Blue Tonal,https://us.kipling.com/products/isidora-kpki17564dx
882256607888,41.60,Moon Grey Met,https://us.kipling.com/products/nadale-gm-kpkib3u40hd
882256534023,29.99,Black Tonal,https://us.kipling.com/products/isidora-kpki17560dh
882256630053,29.99,Purple Passion,https://us.kipling.com/products/isidora-kpki1756be7
882256534023,29.99,Black Tonal,https://us.kipling.com/products/isidora-kpki17560dh
882256580037,65.80,True Blue Tonal,https://us.kipling.com/products/syro-u-kpki93904dx
882256630060,29.99,Cloudy Grey,https://us.kipling.com/products/isidora-kpki17560mo
882256606980,41.60,Quartz Metallic,https://us.kipling.com/products/nadale-gm-kpkib3u43it
882256630053,29.99,Purple Passion,https://us.kipling.com/products/isidora-kpki1756be7
882256630060,29.99,Cloudy Grey,https://us.kipling.com/products/isidora-kpki17560mo
882256631913,24.99,Black Tonal,https://us.kipling.com/products/libbie-kpkia5e60dh
882256607321,37.60,Soft Blush,https://us.kipling.com/products/syro-u-kpki93900bh
882256631937,24.99,Light Sand,https://us.kipling.com/products/libbie-kpkia5e674o
882256631920,24.99,Electric Teal,https://us.kipling.com/products/libbie-kpkia5e63ju
882256604986,34.99,Light Aloe Tonal,https://us.kipling.com/products/syro-u-kpki93900fe
882256631906,24.99,Vivid White,https://us.kipling.com/products/libbie-kpkia5e6j3c
882256632590,64.50,Charcoal Chain,https://us.kipling.com/products/new-milos-y2k-prt-kpkib8z30pr
882256632910,69.50,Charcoal Chain,https://us.kipling.com/products/jodes-fc-kpkib6n40pr
882256632934,69.50,Allure Teal Chain,https://us.kipling.com/products/jodes-fc-kpkib6n44ia
882256632781,49.50,Allure Teal Chain,https://us.kipling.com/products/kelsey-fc-kpkia2q04ia
882256632767,49.50,Charcoal Chain,https://us.kipling.com/products/kelsey-fc-kpkia2q00pr
882256632569,69.50,Charcoal Chain,https://us.kipling.com/products/neary-fc-kpkib5q90pr
882256632583,69.50,Allure Teal Chain,https://us.kipling.com/products/neary-fc-kpkib5q94ia
882256632781,49.50,Allure Teal Chain,https://us.kipling.com/products/kelsey-fc-kpkia2q04ia
882256632569,69.50,Charcoal Chain,https://us.kipling.com/products/neary-fc-kpkib5q90pr
882256632767,49.50,Charcoal Chain,https://us.kipling.com/products/kelsey-fc-kpkia2q00pr
882256632910,69.50,Charcoal Chain,https://us.kipling.com/products/jodes-fc-kpkib6n40pr
882256632583,69.50,Allure Teal Chain,https://us.kipling.com/products/neary-fc-kpkib5q94ia
882256632934,69.50,Allure Teal Chain,https://us.kipling.com/products/jodes-fc-kpkib6n44ia
882256604757,29.99,Light Aloe Tonal,https://us.kipling.com/products/callie-kphb64900fe
882256618839,104.25,Black Rose City,https://us.kipling.com/products/bexie-wk-spc-kpkia6z5me1
882256607147,29.99,Soft Blush,https://us.kipling.com/products/callie-kphb64900bh
882256437843,47.00,INK BLUE TONAL,https://us.kipling.com/products/callie-kphb64904ea
882256435832,199.50,Black Tonal,https://us.kipling.com/products/parker-l-kpwl48030dh
882256630510,39.99,Electric Teal,https://us.kipling.com/products/charnell-kpki92793ju
882256616682,39.99,Cloudy Grey,https://us.kipling.com/products/charnell-kpki92790mo
882256607024,29.99,Light Aloe Tonal,https://us.kipling.com/products/lovebug-u-kpki94970fe
882256580402,49.60,Black Tonal,https://us.kipling.com/products/charnell-kpki92790dh
882256451320,199.50,True Blue Tonal,https://us.kipling.com/products/parker-l-kpwl48034dx
882256607130,39.60,Soft Blush,https://us.kipling.com/products/lovebug-u-kpki94970bh
882256604900,62.00,Pink Sands,https://us.kipling.com/products/pahneiro-u-kpki9393b0r
882256632989,77.00,Bermuda Blue Gradient,https://us.kipling.com/products/maison-spc-kpkib4r57eo
882256609691,39.60,Purple Fig,https://us.kipling.com/products/lovebug-u-kpki94970cv
882256402827,47.00,Black Tonal,https://us.kipling.com/products/brynne-kphb66330dh
882256580242,62.00,Ink Blue Tonal,https://us.kipling.com/products/pahneiro-u-kpki93934ea
882256644272,49.50,Grape Tint,https://us.kipling.com/products/lovebug-u-kpki94972gi
882256631913,24.99,Black Tonal,https://us.kipling.com/products/libbie-kpkia5e60dh
882256592429,29.99,True Blue Tonal,https://us.kipling.com/products/brynne-kphb66334dx
882256641233,49.50,Cloudy Grey,https://us.kipling.com/products/lovebug-u-kpki94970mo
882256631937,24.99,Light Sand,https://us.kipling.com/products/libbie-kpkia5e674o
882256629705,29.99,Cloudy Grey,https://us.kipling.com/products/brynne-kphb66330mo
882256609349,99.00,True Blue Tonal,https://us.kipling.com/products/lovebug-u-kpki94974dx
882256580235,62.00,Black Tonal,https://us.kipling.com/products/pahneiro-u-kpki93930dh
882256631920,24.99,Electric Teal,https://us.kipling.com/products/libbie-kpkia5e63ju
882256629712,29.99,Electric Teal,https://us.kipling.com/products/brynne-kphb66333ju
882256631906,24.99,Vivid White,https://us.kipling.com/products/libbie-kpkia5e6j3c
882256641424,62.00,Springtime Sage,https://us.kipling.com/products/pahneiro-u-kpki9393cx1
882256641431,62.00,Dove Grey,https://us.kipling.com/products/pahneiro-u-kpki93930kg
882256605648,37.80,Moon Grey Metallic,https://us.kipling.com/products/pixi-mtllc-kpac61080hd
882256435832,199.50,Black Tonal,https://us.kipling.com/products/parker-l-kpwl48030dh
882256437072,32.40,Starry Gold Metallic,https://us.kipling.com/products/pixi-mtllc-kpac61083ev
882256604900,62.00,Pink Sands,https://us.kipling.com/products/pahneiro-u-kpki9393b0r
882256451320,199.50,True Blue Tonal,https://us.kipling.com/products/parker-l-kpwl48034dx
882256580242,62.00,Ink Blue Tonal,https://us.kipling.com/products/pahneiro-u-kpki93934ea
882256580235,62.00,Black Tonal,https://us.kipling.com/products/pahneiro-u-kpki93930dh
882256641424,62.00,Springtime Sage,https://us.kipling.com/products/pahneiro-u-kpki9393cx1
882256641431,62.00,Dove Grey,https://us.kipling.com/products/pahneiro-u-kpki93930kg
882256607888,41.60,Moon Grey Met,https://us.kipling.com/products/nadale-gm-kpkib3u40hd
882256630077,29.99,True Blue Tonal,https://us.kipling.com/products/isidora-kpki17564dx
882256630077,29.99,True Blue Tonal,https://us.kipling.com/products/isidora-kpki17564dx
882256606980,41.60,Quartz Metallic,https://us.kipling.com/products/nadale-gm-kpkib3u43it
882256534023,29.99,Black Tonal,https://us.kipling.com/products/isidora-kpki17560dh
882256580037,65.80,True Blue Tonal,https://us.kipling.com/products/syro-u-kpki93904dx
882256534023,29.99,Black Tonal,https://us.kipling.com/products/isidora-kpki17560dh
882256630053,29.99,Purple Passion,https://us.kipling.com/products/isidora-kpki1756be7
882256630053,29.99,Purple Passion,https://us.kipling.com/products/isidora-kpki1756be7
882256630060,29.99,Cloudy Grey,https://us.kipling.com/products/isidora-kpki17560mo
882256607321,37.60,Soft Blush,https://us.kipling.com/products/syro-u-kpki93900bh
882256630060,29.99,Cloudy Grey,https://us.kipling.com/products/isidora-kpki17560mo
882256604986,34.99,Light Aloe Tonal,https://us.kipling.com/products/syro-u-kpki93900fe
882256632910,69.50,Charcoal Chain,https://us.kipling.com/products/jodes-fc-kpkib6n40pr
882256632934,69.50,Allure Teal Chain,https://us.kipling.com/products/jodes-fc-kpkib6n44ia
882256632781,49.50,Allure Teal Chain,https://us.kipling.com/products/kelsey-fc-kpkia2q04ia
882256632590,64.50,Charcoal Chain,https://us.kipling.com/products/new-milos-y2k-prt-kpkib8z30pr
882256631913,24.99,Black Tonal,https://us.kipling.com/products/libbie-kpkia5e60dh
882256632767,49.50,Charcoal Chain,https://us.kipling.com/products/kelsey-fc-kpkia2q00pr
882256632569,69.50,Charcoal Chain,https://us.kipling.com/products/neary-fc-kpkib5q90pr
882256631937,24.99,Light Sand,https://us.kipling.com/products/libbie-kpkia5e674o
882256631920,24.99,Electric Teal,https://us.kipling.com/products/libbie-kpkia5e63ju
882256632583,69.50,Allure Teal Chain,https://us.kipling.com/products/neary-fc-kpkib5q94ia
882256631906,24.99,Vivid White,https://us.kipling.com/products/libbie-kpkia5e6j3c
882256632781,49.50,Allure Teal Chain,https://us.kipling.com/products/kelsey-fc-kpkia2q04ia
882256632910,69.50,Charcoal Chain,https://us.kipling.com/products/jodes-fc-kpkib6n40pr
882256632767,49.50,Charcoal Chain,https://us.kipling.com/products/kelsey-fc-kpkia2q00pr
882256632934,69.50,Allure Teal Chain,https://us.kipling.com/products/jodes-fc-kpkib6n44ia
882256604757,29.99,Light Aloe Tonal,https://us.kipling.com/products/callie-kphb64900fe
882256632569,69.50,Charcoal Chain,https://us.kipling.com/products/neary-fc-kpkib5q90pr
882256607147,29.99,Soft Blush,https://us.kipling.com/products/callie-kphb64900bh
882256632583,69.50,Allure Teal Chain,https://us.kipling.com/products/neary-fc-kpkib5q94ia
882256437843,47.00,INK BLUE TONAL,https://us.kipling.com/products/callie-kphb64904ea
882256604900,62.00,Pink Sands,https://us.kipling.com/products/pahneiro-u-kpki9393b0r
882256630510,39.99,Electric Teal,https://us.kipling.com/products/charnell-kpki92793ju
882256580242,62.00,Ink Blue Tonal,https://us.kipling.com/products/pahneiro-u-kpki93934ea
882256632989,77.00,Bermuda Blue Gradient,https://us.kipling.com/products/maison-spc-kpkib4r57eo
882256616682,39.99,Cloudy Grey,https://us.kipling.com/products/charnell-kpki92790mo
882256435832,199.50,Black Tonal,https://us.kipling.com/products/parker-l-kpwl48030dh
882256580235,62.00,Black Tonal,https://us.kipling.com/products/pahneiro-u-kpki93930dh
882256580402,49.60,Black Tonal,https://us.kipling.com/products/charnell-kpki92790dh
882256451320,199.50,True Blue Tonal,https://us.kipling.com/products/parker-l-kpwl48034dx
882256618839,104.25,Black Rose City,https://us.kipling.com/products/bexie-wk-spc-kpkia6z5me1
882256641424,62.00,Springtime Sage,https://us.kipling.com/products/pahneiro-u-kpki9393cx1
882256641431,62.00,Dove Grey,https://us.kipling.com/products/pahneiro-u-kpki93930kg
