UPC,ASIN,Title,Brand,Cost,Price,Profit,ROI,Margin,Estimated Sales,Offers,Amazon Last Seen,Sales Rank,Average30,Average90,Average180,Package Quantity,Review Count,Review Stars,Category,Package Height,Package Length,Package Width,Package Weight,Size,FBA Fee,Referral Fee,Closing Fee,Fixed Additional Cost,Shipping Cost,Percent Additional Cost,Color,Variation Parent,Variations,Variation,Promotion,Source_url
1.98E+11,B0F7PLX7GK,Essentials Flight Jordan by Nike,Nike,21.97,0,-21.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,Medium,0,0,0,0,0,0,Washed Teal,,,Big Kids - Washed Teal - M,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-big-kids-poolside-jumpman-t-shirt-0odoLX17/95F049-B5P
1.98E+11,B0F7PM8JJH,Essentials Flight Jordan by Nike,Nike,21.97,0,-21.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,Medium,0,0,0,0,0,0,Black,,,Big Kids - Black - M,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-big-kids-poolside-jumpman-t-shirt-0odoLX17/95F049-023
1.98E+11,B0F7PM8JJH,Essentials Flight Jordan by Nike,Nike,21.97,0,-21.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,Medium,0,0,0,0,0,0,Black,,,Big Kids - Black - M,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-big-kids-poolside-jumpman-t-shirt-0odoLX17/95F049-023
1.98E+11,B0F7PSQQ97,Essentials Flight Jordan by Nike,Nike,21.97,0,-21.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,Small,0,0,0,0,0,0,Washed Teal,,,Big Kids - Washed Teal - S,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-big-kids-poolside-jumpman-t-shirt-0odoLX17/95F049-B5P
1.98E+11,B0F7PSQQ97,Essentials Flight Jordan by Nike,Nike,21.97,0,-21.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,Small,0,0,0,0,0,0,Washed Teal,,,Big Kids - Washed Teal - S,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-big-kids-poolside-jumpman-t-shirt-0odoLX17/95F049-B5P
1.98E+11,,,,65,0,0,0%,,,0,,-1,,,,0,,,UNKNOWN,0,0,0,0,,0,0,0,0,0,0,,,,Light Orewood Brown - L,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-big-kids-oversized-crew-h3st5W/45D245-C75
1.98E+11,B0F7PDV3CB,Essentials Flight Jordan,Nike,18.97,0,-18.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,4,0,0,0,0,0,0,White,,,Little Kids - White - 4,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-little-kids-poolside-jumpman-t-shirt-0odoLX17/85F049-001
1.98E+11,B0F7PDV3CB,Essentials Flight Jordan,Nike,18.97,0,-18.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,4,0,0,0,0,0,0,White,,,Little Kids - White - 4,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-little-kids-poolside-jumpman-t-shirt-0odoLX17/85F049-001
1.98E+11,B0F7PHJ5W4,,Nike,18.97,0,-18.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,6,0,0,0,0,0,0,Washed Teal,,,Little Kids - Washed Teal - 6,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-little-kids-poolside-jumpman-t-shirt-0odoLX17/85F049-B5P
1.98E+11,B0F7PHJ5W4,,Nike,18.97,0,-18.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,6,0,0,0,0,0,0,Washed Teal,,,Little Kids - Washed Teal - 6,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-little-kids-poolside-jumpman-t-shirt-0odoLX17/85F049-B5P
1.98E+11,B0F7P252LK,Essentials Flight by Jordan,Nike,18.97,0,-18.97,-100%,,,0,,-1,,,,1,,,UNKNOWN,3.937007904,19.68503952,11.81102371,1.102311254,5,0,0,0,0,0,0,Washed Teal,,,Little Kids - Washed Teal - 5,EXTRA 20% Off with code SPORT,https://www.nike.com/t/jordan-flight-essentials-little-kids-poolside-jumpman-t-shirt-0odoLX17/85F049-B5P
